PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Is indexable page,Hreflang links,Hreflang links codes,Hreflang issues,Hreflang group ID,No. of hreflang inlinks,No. of all inlinks
21,https://handlemyfile.com/da/fjern-metadata,Fjern PDF-metadata - Sanitize Properties Online | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/zl-lbynt-ltaaryfy
https://handlemyfile.com/cs/odebrat-metadata
https://handlemyfile.com/da/fjern-metadata
https://handlemyfile.com/de/metadaten-entfernen
https://handlemyfile.com/el/katargisi-metadedomenon
https://handlemyfile.com/es/eliminar-metadatos
https://handlemyfile.com/fi/poista-metatiedot
https://handlemyfile.com/fr/supprimer-les-metadonnees
https://handlemyfile.com/he/hsr-mt-ntvnym
https://handlemyfile.com/hi/mettaaddettaa-httaaen
https://handlemyfile.com/hu/remove-metadata
https://handlemyfile.com/id/hapus-metadata
https://handlemyfile.com/it/rimuovi-metadati
https://handlemyfile.com/ja/metadeta-sakujo
https://handlemyfile.com/ko/metadeiteo-jegeo
https://handlemyfile.com/ms/alih-keluar-metadata
https://handlemyfile.com/nl/metagegevens-verwijderen
https://handlemyfile.com/no/fjern-metadata
https://handlemyfile.com/pl/usun-metadane
https://handlemyfile.com/pt/remover-metadados
https://handlemyfile.com/remove-metadata
https://handlemyfile.com/remove-metadata
https://handlemyfile.com/ro/eliminati-metadatele
https://handlemyfile.com/ru/udalit-metadannye
https://handlemyfile.com/sk/odstranit-metadata
https://handlemyfile.com/sv/ta-bort-metadata
https://handlemyfile.com/th/lbkh-muulemtaa
https://handlemyfile.com/tr/meta-verileri-kaldir
https://handlemyfile.com/uk/vidaliti-metadani
https://handlemyfile.com/vi/xoa-sieu-du-lieu
https://handlemyfile.com/zh/shan-chu-yuan-shu-ju","200
200
200
404
200
404
200
404
200
200
200
404
404
200
200
200
404
200
200
404
404
404
200
200
200
200
200
200
200
200
200",Some pages are not returning 200 status code,17120105291777790753,29,29
21,https://handlemyfile.com/es/imagen-a-pdf,Convierta JPG y PNG a PDF en línea: imágenes a PDF localmente | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/lswr-l~-pdf
https://handlemyfile.com/cs/obrazek-do-pdf
https://handlemyfile.com/da/billede-til-pdf
https://handlemyfile.com/de/bild-zu-pdf
https://handlemyfile.com/el/eikona-se-pdf
https://handlemyfile.com/es/imagen-a-pdf
https://handlemyfile.com/fi/kuva-pdf-ksi
https://handlemyfile.com/fr/image-au-format-pdf
https://handlemyfile.com/he/tmvnh-l-pdf
https://handlemyfile.com/hi/piiddiieph-men-chvi
https://handlemyfile.com/hu/image-to-pdf
https://handlemyfile.com/id/gambar-ke-pdf
https://handlemyfile.com/image-to-pdf
https://handlemyfile.com/image-to-pdf
https://handlemyfile.com/it/immagine-in-pdf
https://handlemyfile.com/ja/gazo-kara-pdf
https://handlemyfile.com/ko/imijireul-pdfro
https://handlemyfile.com/ms/imej-ke-pdf
https://handlemyfile.com/nl/afbeelding-naar-pdf
https://handlemyfile.com/no/bilde-til-pdf
https://handlemyfile.com/pl/obraz-do-pliku-pdf
https://handlemyfile.com/pt/imagem-para-pdf
https://handlemyfile.com/ro/imagine-in-pdf
https://handlemyfile.com/ru/izobrazhenie-v-pdf
https://handlemyfile.com/sk/obrazok-do-pdf
https://handlemyfile.com/sv/bild-till-pdf
https://handlemyfile.com/th/ruupphaaphepn-pdf
https://handlemyfile.com/tr/resimden-pdf-e
https://handlemyfile.com/uk/zobrazhennya-v-pdf
https://handlemyfile.com/vi/hinh-anh-sang-pdf
https://handlemyfile.com/zh/tu-pian-zhuan-pdf","200
200
200
404
200
200
200
404
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages are not returning 200 status code,13593312636563713594,29,29
21,https://handlemyfile.com/tr/pdf-nin-kilidini-acin,PDF Online'ın Kilidini Açın - PDF Parolasını Yerel Olarak Kaldır | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/fth-mlf-pdf
https://handlemyfile.com/cs/odemknout-pdf
https://handlemyfile.com/da/las-pdf-op
https://handlemyfile.com/de/pdf-entsperren
https://handlemyfile.com/el/xekleidoma-pdf
https://handlemyfile.com/es/desbloquear-pdf
https://handlemyfile.com/fi/avaa-pdf
https://handlemyfile.com/fr/deverrouiller-le-pdf
https://handlemyfile.com/he/bytvl-n-ylt-pdf
https://handlemyfile.com/hi/piiddiieph-anlonk-kren
https://handlemyfile.com/hu/pdf-feloldasa
https://handlemyfile.com/id/buka-kunci-pdf
https://handlemyfile.com/it/sblocca-pdf
https://handlemyfile.com/ja/pdf-kaijo
https://handlemyfile.com/ko/pdf-jamgeum-haeje
https://handlemyfile.com/ms/buka-kunci-pdf
https://handlemyfile.com/nl/ontgrendel-pdf
https://handlemyfile.com/no/las-opp-pdf
https://handlemyfile.com/pl/odblokuj-pdf
https://handlemyfile.com/pt/desbloquear-pdf
https://handlemyfile.com/ro/deblocati-pdf
https://handlemyfile.com/ru/razblokirovat-pdf
https://handlemyfile.com/sk/odomknut-pdf
https://handlemyfile.com/sv/las-upp-pdf
https://handlemyfile.com/th/pldl-kh-pdf
https://handlemyfile.com/tr/pdf-nin-kilidini-acin
https://handlemyfile.com/uk/rozblokuvati-pdf
https://handlemyfile.com/unlock-pdf
https://handlemyfile.com/unlock-pdf
https://handlemyfile.com/vi/mo-khoa-pdf
https://handlemyfile.com/zh/jie-suo-pdf","200
200
200
200
200
200
200
404
200
200
200
200
200
200
200
200
404
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages are not returning 200 status code,1523160161728795908,29,29
21,https://handlemyfile.com/cs/extrahovat-obrazky,Extrahovat obrázky z PDF - Uložit všechny obrázky z PDF | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/stkhrj-lswr
https://handlemyfile.com/cs/extrahovat-obrazky
https://handlemyfile.com/da/uddrag-billeder
https://handlemyfile.com/de/bilder-extrahieren
https://handlemyfile.com/el/exagogi-eikonon
https://handlemyfile.com/es/extraer-imagenes
https://handlemyfile.com/extract-images
https://handlemyfile.com/extract-images
https://handlemyfile.com/fi/pura-kuvat
https://handlemyfile.com/fr/extraire-des-images
https://handlemyfile.com/he/khlts-tmvnvt
https://handlemyfile.com/hi/chviyaan-nikaalen
https://handlemyfile.com/hu/kepek-kibontasa
https://handlemyfile.com/id/ekstrak-gambar
https://handlemyfile.com/it/estrai-immagini
https://handlemyfile.com/ja/gazo-chushutsu
https://handlemyfile.com/ko/imiji-cucul
https://handlemyfile.com/ms/ekstrak-imej
https://handlemyfile.com/nl/afbeeldingen-extraheren
https://handlemyfile.com/no/pakk-ut-bilder
https://handlemyfile.com/pl/wyodrebnij-obrazy
https://handlemyfile.com/pt/extrair-imagens
https://handlemyfile.com/ro/extrage-imagini
https://handlemyfile.com/ru/izvlech-izobrazheniya
https://handlemyfile.com/sk/extrahovat-obrazky
https://handlemyfile.com/sv/extrahera-bilder
https://handlemyfile.com/th/aeykruupphaaph
https://handlemyfile.com/tr/goruntuleri-cikart
https://handlemyfile.com/uk/vidobutok-zobrazhen
https://handlemyfile.com/vi/trich-xuat-hinh-anh
https://handlemyfile.com/zh/ti-qu-tu-xiang","200
200
200
200
200
200
404
404
200
200
200
200
200
404
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages are not returning 200 status code,3442133606615134237,29,29
21,https://handlemyfile.com/redact-pdf,Redact PDF - Securely Blackout Text and Images | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/tnqyh-pdf
https://handlemyfile.com/cs/upravit-pdf
https://handlemyfile.com/da/rediger-pdf
https://handlemyfile.com/de/pdf-redigieren
https://handlemyfile.com/el/diorthosi-pdf
https://handlemyfile.com/es/redactar-pdf
https://handlemyfile.com/fi/muokkaa-pdf
https://handlemyfile.com/fr/rediger-le-pdf
https://handlemyfile.com/he/rykt-pdf
https://handlemyfile.com/hi/riektt-piiddiieph
https://handlemyfile.com/hu/redact-pdf
https://handlemyfile.com/id/sunting-pdf
https://handlemyfile.com/it/redigere-pdf
https://handlemyfile.com/ja/pdf-suminuri
https://handlemyfile.com/ko/pdf-sujeong
https://handlemyfile.com/ms/redact-pdf
https://handlemyfile.com/nl/pdf-redigeren
https://handlemyfile.com/no/rediger-pdf
https://handlemyfile.com/pl/redaguj-pdf
https://handlemyfile.com/pt/redigir-pdf
https://handlemyfile.com/redact-pdf
https://handlemyfile.com/redact-pdf
https://handlemyfile.com/ro/redact-pdf
https://handlemyfile.com/ru/redaktirovat-pdf
https://handlemyfile.com/sk/upravit-pdf
https://handlemyfile.com/sv/redigera-pdf
https://handlemyfile.com/th/aekaikh-pdf
https://handlemyfile.com/tr/pdf-yi-duzelt
https://handlemyfile.com/uk/redaguvati-pdf
https://handlemyfile.com/vi/bien-tap-lai-pdf
https://handlemyfile.com/zh/bian-ji-pdf","200
200
200
404
200
200
200
404
200
200
200
404
404
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages are not returning 200 status code,274715133061669822,58,58
21,https://handlemyfile.com/hi/piiddiieph-ghumaaen,पीडीएफ पेजों को ऑनलाइन घुमाएँ - पीडीएफ को 90/180/270 डिग्री स्थानीय रूप से घुमाएँ | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/tdwyr-pdf
https://handlemyfile.com/cs/otocit-pdf
https://handlemyfile.com/da/roter-pdf
https://handlemyfile.com/de/pdf-drehen
https://handlemyfile.com/el/peristrofi-pdf
https://handlemyfile.com/es/girar-pdf
https://handlemyfile.com/fi/kierra-pdf
https://handlemyfile.com/fr/faire-pivoter-le-pdf
https://handlemyfile.com/he/svbb-pdf
https://handlemyfile.com/hi/piiddiieph-ghumaaen
https://handlemyfile.com/hu/pdf-forgatasa
https://handlemyfile.com/id/putar-pdf
https://handlemyfile.com/it/ruota-pdf
https://handlemyfile.com/ja/pdf-kaiten
https://handlemyfile.com/ko/pdf-hoejeon
https://handlemyfile.com/ms/putar-pdf
https://handlemyfile.com/nl/pdf-roteren
https://handlemyfile.com/no/roter-pdf
https://handlemyfile.com/pl/obroc-pdf
https://handlemyfile.com/pt/girar-pdf
https://handlemyfile.com/ro/rotiti-pdf
https://handlemyfile.com/rotate-pdf
https://handlemyfile.com/rotate-pdf
https://handlemyfile.com/ru/povorot-pdf
https://handlemyfile.com/sk/otocit-pdf
https://handlemyfile.com/sv/rotera-pdf
https://handlemyfile.com/th/hmun-pdf
https://handlemyfile.com/tr/pdf-yi-dondur
https://handlemyfile.com/uk/povernuti-pdf
https://handlemyfile.com/vi/xoay-pdf
https://handlemyfile.com/zh/xuan-zhuan-pdf","200
200
200
200
200
404
200
404
200
200
200
404
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages are not returning 200 status code,11957712171261841307,29,29
21,https://handlemyfile.com/da/beskyt-pdf,Beskyt PDF Online - Adgangskodebeskyt PDF lokalt | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/hmy-qwt-ldfaa-lshaaby
https://handlemyfile.com/cs/chranit-pdf
https://handlemyfile.com/da/beskyt-pdf
https://handlemyfile.com/de/pdf-schutzen
https://handlemyfile.com/el/prostasia-pdf
https://handlemyfile.com/es/proteger-pdf
https://handlemyfile.com/fi/suojaa-pdf
https://handlemyfile.com/fr/proteger-le-pdf
https://handlemyfile.com/he/hgn-l-pdf
https://handlemyfile.com/hi/piiddiieph-ko-surkssit-rkhen
https://handlemyfile.com/hu/pdf-vedelme
https://handlemyfile.com/id/lindungi-pdf
https://handlemyfile.com/it/proteggi-pdf
https://handlemyfile.com/ja/pdf-hogo
https://handlemyfile.com/ko/pdfreul-boho
https://handlemyfile.com/ms/lindungi-pdf
https://handlemyfile.com/nl/beveilig-pdf
https://handlemyfile.com/no/beskytt-pdf
https://handlemyfile.com/pl/chron-plik-pdf
https://handlemyfile.com/protect-pdf
https://handlemyfile.com/protect-pdf
https://handlemyfile.com/pt/proteger-pdf
https://handlemyfile.com/ro/protejati-pdf
https://handlemyfile.com/ru/zashchitit-pdf
https://handlemyfile.com/sk/chranit-pdf
https://handlemyfile.com/sv/skydda-pdf
https://handlemyfile.com/th/p-ngkan-pdf
https://handlemyfile.com/tr/pdf-yi-koruyun
https://handlemyfile.com/uk/zahist-pdf
https://handlemyfile.com/vi/bao-ve-pdf
https://handlemyfile.com/zh/bao-hu-pdf","200
200
200
404
200
200
200
404
200
200
200
404
200
200
200
200
404
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages are not returning 200 status code,2514958443950267277,29,29
21,https://handlemyfile.com/ar/tqsym-qwt-ldfaa-lshaaby,تقسيم ملف PDF عبر الإنترنت - استخراج الصفحات بشكل منفصل | الخصوصية من جانب العميل | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/tqsym-qwt-ldfaa-lshaaby
https://handlemyfile.com/cs/rozdelit-pdf
https://handlemyfile.com/da/split-pdf
https://handlemyfile.com/de/pdf-teilen
https://handlemyfile.com/el/diahorismos-pdf
https://handlemyfile.com/es/dividir-pdf
https://handlemyfile.com/fi/jaa-pdf
https://handlemyfile.com/fr/diviser-le-pdf
https://handlemyfile.com/he/pytsvl-pdf
https://handlemyfile.com/hi/splitt-piiddiieph
https://handlemyfile.com/hu/pdf-felosztasa
https://handlemyfile.com/id/pisahkan-pdf
https://handlemyfile.com/it/pdf-diviso
https://handlemyfile.com/ja/pdf-bunkatsu
https://handlemyfile.com/ko/pdf-bunhal
https://handlemyfile.com/ms/pisahkan-pdf
https://handlemyfile.com/nl/pdf-splitsen
https://handlemyfile.com/no/del-pdf
https://handlemyfile.com/pl/podziel-plik-pdf
https://handlemyfile.com/pt/dividir-pdf
https://handlemyfile.com/ro/split-pdf
https://handlemyfile.com/ru/razdelit-pdf
https://handlemyfile.com/sk/rozdelit-pdf
https://handlemyfile.com/split-pdf
https://handlemyfile.com/split-pdf
https://handlemyfile.com/sv/dela-pdf
https://handlemyfile.com/th/aeyk-pdf
https://handlemyfile.com/tr/pdf-yi-bol
https://handlemyfile.com/uk/rozdiliti-pdf
https://handlemyfile.com/vi/tach-pdf
https://handlemyfile.com/zh/fen-ge-pdf","200
200
200
200
200
200
200
404
200
200
200
404
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages are not returning 200 status code,17482027486217760711,29,29
21,https://handlemyfile.com/el/peristrofi-pdf,Περιστροφή σελίδων PDF Online - Περιστρέψτε το PDF 90/180/270 μοίρες τοπικά | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/tdwyr-pdf
https://handlemyfile.com/cs/otocit-pdf
https://handlemyfile.com/da/roter-pdf
https://handlemyfile.com/de/pdf-drehen
https://handlemyfile.com/el/peristrofi-pdf
https://handlemyfile.com/es/girar-pdf
https://handlemyfile.com/fi/kierra-pdf
https://handlemyfile.com/fr/faire-pivoter-le-pdf
https://handlemyfile.com/he/svbb-pdf
https://handlemyfile.com/hi/piiddiieph-ghumaaen
https://handlemyfile.com/hu/pdf-forgatasa
https://handlemyfile.com/id/putar-pdf
https://handlemyfile.com/it/ruota-pdf
https://handlemyfile.com/ja/pdf-kaiten
https://handlemyfile.com/ko/pdf-hoejeon
https://handlemyfile.com/ms/putar-pdf
https://handlemyfile.com/nl/pdf-roteren
https://handlemyfile.com/no/roter-pdf
https://handlemyfile.com/pl/obroc-pdf
https://handlemyfile.com/pt/girar-pdf
https://handlemyfile.com/ro/rotiti-pdf
https://handlemyfile.com/rotate-pdf
https://handlemyfile.com/rotate-pdf
https://handlemyfile.com/ru/povorot-pdf
https://handlemyfile.com/sk/otocit-pdf
https://handlemyfile.com/sv/rotera-pdf
https://handlemyfile.com/th/hmun-pdf
https://handlemyfile.com/tr/pdf-yi-dondur
https://handlemyfile.com/uk/povernuti-pdf
https://handlemyfile.com/vi/xoay-pdf
https://handlemyfile.com/zh/xuan-zhuan-pdf","200
200
200
200
200
404
200
404
200
200
200
404
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages are not returning 200 status code,11957712171261841307,29,29
21,https://handlemyfile.com/nl/watermerk-pdf,Watermerk toevoegen aan PDF - Aangepaste tekst of afbeelding lokaal stempelen | HandleMyFile,text/html; charset=utf-8,false,200,0,true,"https://handlemyfile.com/ar/laalm-lmy-y-pdf
https://handlemyfile.com/cs/vodoznak-pdf
https://handlemyfile.com/da/vandmaerke-pdf
https://handlemyfile.com/de/wasserzeichen-pdf
https://handlemyfile.com/el/ydatografima-pdf
https://handlemyfile.com/es/pdf-de-marca-de-agua
https://handlemyfile.com/fi/vesileima-pdf
https://handlemyfile.com/fr/filigrane-pdf
https://handlemyfile.com/he/symn-mym-pdf
https://handlemyfile.com/hi/vonttrmaark-piiddiieph
https://handlemyfile.com/hu/vizjel-pdf
https://handlemyfile.com/id/tanda-air-pdf
https://handlemyfile.com/it/pdf-filigrana
https://handlemyfile.com/ja/pdf-sukashi
https://handlemyfile.com/ko/weoteomakeu-pdf
https://handlemyfile.com/ms/pdf-tera-air
https://handlemyfile.com/nl/watermerk-pdf
https://handlemyfile.com/no/vannmerke-pdf
https://handlemyfile.com/pl/znak-wodny-pdf
https://handlemyfile.com/pt/pdf-de-marca-d-agua
https://handlemyfile.com/ro/filigran-pdf
https://handlemyfile.com/ru/vodyanoy-znak-pdf
https://handlemyfile.com/sk/vodoznak-pdf
https://handlemyfile.com/sv/vattenstampel-pdf
https://handlemyfile.com/th/laaynam-pdf
https://handlemyfile.com/tr/filigran-pdf
https://handlemyfile.com/uk/vodyaniy-znak-pdf
https://handlemyfile.com/vi/hinh-mo-pdf
https://handlemyfile.com/watermark-pdf
https://handlemyfile.com/watermark-pdf
https://handlemyfile.com/zh/shui-yin-pdf","200
200
200
200
200
404
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200
200",Some pages are not returning 200 status code,9350504273540073353,29,29
